352	352
698	346
1014	316
1329	315
1615	286
1897	282
2155	258
2401	246
2645	244
2887	242
3122	235
3353	231
3583	230
3791	208
3990	199
4186	196
4380	194
4566	186
4748	182
4926	178
5089	163
5250	161
5407	157
5561	154
5706	145
5851	145
5984	133
6114	130
6243	129
6370	127
6497	127
6620	123
6742	122
6863	121
6984	121
7101	117
7214	113
7327	113
7439	112
7550	111
7660	110
7767	107
7870	103
7973	103
8074	101
8175	101
8276	101
8374	98
8472	98
8567	95
8660	93
8752	92
8844	92
8934	90
9022	88
9109	87
9195	86
9279	84
9362	83
9445	83
9528	83
9611	83
9694	83
9776	82
9857	81
9938	81
10019	81
10099	80
10179	80
10259	80
10338	79
10417	79
10495	78
10572	77
10649	77
10726	77
10802	76
10877	75
10951	74
11025	74
11099	74
11173	74
11245	72
11316	71
