364	364
727	363
1055	328
1376	321
1673	297
1968	295
2251	283
2529	278
2803	274
3071	268
3320	249
3562	242
3797	235
4029	232
4248	219
4460	212
4670	210
4869	199
5065	196
5257	192
5447	190
5629	182
5810	181
5991	181
6158	167
6324	166
6485	161
6643	158
6796	153
6947	151
7092	145
7237	145
7381	144
7525	144
7662	137
7799	137
7935	136
8066	131
8193	127
8318	125
8442	124
8566	124
8689	123
8812	123
8934	122
9056	122
9177	121
9296	119
9413	117
9530	117
9644	114
9758	114
9871	113
9984	113
10094	110
10204	110
10312	108
10416	104
10519	103
10621	102
10722	101
10823	101
10921	98
11017	96
11112	95
11206	94
11300	94
11394	94
11487	93
11580	93
11672	92
11764	92
11853	89
11942	89
12030	88
12118	88
12205	87
12291	86
12376	85
12458	82
12540	82
12620	80
12699	79
12777	78
12854	77
12931	77
13008	77
13085	77
13161	76
13237	76
13312	75
13387	75
13462	75
13537	75
13612	75
13686	74
13760	74
13833	73
13904	71
13975	71
14046	71
14117	71
